"Onderwerpen_1";"Onderwerpen_2";"Onderwerpen_3";"Perioden";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016*";"2017*"
"Onderwerpen_1";"Onderwerpen_2";"Onderwerpen_3";"Perioden";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016*";"2017*"
"Totaal sociale uitkeringen";"Totaal wettelijke sociale uitkeringen";"Algemene Ouderdomswet (AOW)";"mln euro";"15180";"15853";"16609";"17578";"18400";"19098";"20284";"21383";"22429";"22890";"23369";"24169";"25198";"26446";"27580";"28618";"29996";"31415";"32719";"34120";"35814";"36941";"37411"
